"day"	"steps"
"01"	NA
"02"	18.6215277777778
"03"	38.0607638888889
"04"	42.0694444444444
"05"	41.203125
"06"	41.2395833333333
"07"	41.4895833333333
"08"	11.1770833333333
"09"	44.4826388888889
"10"	34.375
"11"	39.7777777777778
"12"	48.8663194444444
"13"	34.3090277777778
"14"	52.4236111111111
"15"	17.6736111111111
"16"	35.6336805555556
"17"	48.2482638888889
"18"	43.6909722222222
"19"	35.8854166666667
"20"	25.8107638888889
"21"	37.5138888888889
"22"	58.8315972222222
"23"	52.2777777777778
"24"	39.640625
"25"	24.8715277777778
"26"	31.1458333333333
"27"	41.2586805555556
"28"	37.5711805555556
"29"	20.9461805555556
"30"	34.09375
"31"	53.5208333333333
