"interval"	"steps"
0	1.71698113207547
5	0.339622641509434
10	0.132075471698113
15	0.150943396226415
20	0.0754716981132075
25	2.09433962264151
30	0.528301886792453
35	0.867924528301887
40	0
45	1.47169811320755
50	0.30188679245283
55	0.132075471698113
100	0.320754716981132
105	0.679245283018868
110	0.150943396226415
115	0.339622641509434
120	0
125	1.11320754716981
130	1.83018867924528
135	0.169811320754717
140	0.169811320754717
145	0.377358490566038
150	0.264150943396226
155	0
200	0
205	0
210	1.13207547169811
215	0
220	0
225	0.132075471698113
230	0
235	0.226415094339623
240	0
245	0
250	1.54716981132075
255	0.943396226415094
300	0
305	0
310	0
315	0
320	0.207547169811321
325	0.622641509433962
330	1.62264150943396
335	0.584905660377358
340	0.490566037735849
345	0.0754716981132075
350	0
355	0
400	1.18867924528302
405	0.943396226415094
410	2.56603773584906
415	0
420	0.339622641509434
425	0.358490566037736
430	4.11320754716981
435	0.660377358490566
440	3.49056603773585
445	0.830188679245283
450	3.11320754716981
455	1.11320754716981
500	0
505	1.56603773584906
510	3
515	2.24528301886792
520	3.32075471698113
525	2.9622641509434
530	2.09433962264151
535	6.05660377358491
540	16.0188679245283
545	18.3396226415094
550	39.4528301886792
555	44.4905660377358
600	31.4905660377358
605	49.2641509433962
610	53.7735849056604
615	63.4528301886792
620	49.9622641509434
625	47.0754716981132
630	52.1509433962264
635	39.3396226415094
640	44.0188679245283
645	44.1698113207547
650	37.3584905660377
655	49.0377358490566
700	43.811320754717
705	44.377358490566
710	50.5094339622642
715	54.5094339622642
720	49.9245283018868
725	50.9811320754717
730	55.6792452830189
735	44.3207547169811
740	52.2641509433962
745	69.5471698113208
750	57.8490566037736
755	56.1509433962264
800	73.377358490566
805	68.2075471698113
810	129.433962264151
815	157.528301886792
820	171.150943396226
825	155.396226415094
830	177.301886792453
835	206.169811320755
840	195.924528301887
845	179.566037735849
850	183.396226415094
855	167.018867924528
900	143.452830188679
905	124.037735849057
910	109.11320754717
915	108.11320754717
920	103.716981132075
925	95.9622641509434
930	66.2075471698113
935	45.2264150943396
940	24.7924528301887
945	38.7547169811321
950	34.9811320754717
955	21.0566037735849
1000	40.5660377358491
1005	26.9811320754717
1010	42.4150943396226
1015	52.6603773584906
1020	38.9245283018868
1025	50.7924528301887
1030	44.2830188679245
1035	37.4150943396226
1040	34.6981132075472
1045	28.3396226415094
1050	25.0943396226415
1055	31.9433962264151
1100	31.3584905660377
1105	29.6792452830189
1110	21.3207547169811
1115	25.5471698113208
1120	28.377358490566
1125	26.4716981132075
1130	33.4339622641509
1135	49.9811320754717
1140	42.0377358490566
1145	44.6037735849057
1150	46.0377358490566
1155	59.188679245283
1200	63.8679245283019
1205	87.6981132075472
1210	94.8490566037736
1215	92.7735849056604
1220	63.3962264150943
1225	50.1698113207547
1230	54.4716981132075
1235	32.4150943396226
1240	26.5283018867925
1245	37.7358490566038
1250	45.0566037735849
1255	67.2830188679245
1300	42.3396226415094
1305	39.8867924528302
1310	43.2641509433962
1315	40.9811320754717
1320	46.2452830188679
1325	56.4339622641509
1330	42.7547169811321
1335	25.1320754716981
1340	39.9622641509434
1345	53.5471698113208
1350	47.3207547169811
1355	60.811320754717
1400	55.7547169811321
1405	51.9622641509434
1410	43.5849056603774
1415	48.6981132075472
1420	35.4716981132075
1425	37.5471698113208
1430	41.8490566037736
1435	27.5094339622642
1440	17.1132075471698
1445	26.0754716981132
1450	43.622641509434
1455	43.7735849056604
1500	30.0188679245283
1505	36.0754716981132
1510	35.4905660377358
1515	38.8490566037736
1520	45.9622641509434
1525	47.7547169811321
1530	48.1320754716981
1535	65.3207547169811
1540	82.9056603773585
1545	98.6603773584906
1550	102.11320754717
1555	83.9622641509434
1600	62.1320754716981
1605	64.1320754716981
1610	74.5471698113208
1615	63.1698113207547
1620	56.9056603773585
1625	59.7735849056604
1630	43.8679245283019
1635	38.5660377358491
1640	44.6603773584906
1645	45.4528301886792
1650	46.2075471698113
1655	43.6792452830189
1700	46.622641509434
1705	56.3018867924528
1710	50.7169811320755
1715	61.2264150943396
1720	72.7169811320755
1725	78.9433962264151
1730	68.9433962264151
1735	59.6603773584906
1740	75.0943396226415
1745	56.5094339622642
1750	34.7735849056604
1755	37.4528301886792
1800	40.6792452830189
1805	58.0188679245283
1810	74.6981132075472
1815	85.3207547169811
1820	59.2641509433962
1825	67.7735849056604
1830	77.6981132075472
1835	74.2452830188679
1840	85.3396226415094
1845	99.4528301886792
1850	86.5849056603774
1855	85.6037735849057
1900	84.8679245283019
1905	77.8301886792453
1910	58.0377358490566
1915	53.3584905660377
1920	36.3207547169811
1925	20.7169811320755
1930	27.3962264150943
1935	40.0188679245283
1940	30.2075471698113
1945	25.5471698113208
1950	45.6603773584906
1955	33.5283018867925
2000	19.622641509434
2005	19.0188679245283
2010	19.3396226415094
2015	33.3396226415094
2020	26.811320754717
2025	21.1698113207547
2030	27.3018867924528
2035	21.3396226415094
2040	19.5471698113208
